supporterwallet,first_date,last_date,first_from,first_to,last_from,last_to,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,TDD
0x4360187bA1204bf91e9F697f67283b38f962da3E,1564850312,1682612375,0x00de4b13153673bcae2616b67bf822500d325fc3,0x4360187ba1204bf91e9f697f67283b38f962da3e,0x4360187ba1204bf91e9f697f67283b38f962da3e,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,73,1370,1359,0,74,0,46,17.931506849315067
0xD133Df54C0A5849B6a9E1928095148bf3F068fC8,1652457860,1682748431,0x5828bc56706b63fe8f21cafb3f49016977b5aad8,0xd133df54c0a5849b6a9e1928095148bf3f068fc8,0xd133df54c0a5849b6a9e1928095148bf3f068fc8,0x9d90669665607f08005cae4a7098143f554c59ef,47,356,336,0,52,0,11,7.25531914893617
0x4bcD8A4Af46bCDdE176E42319FC2F8808Ebf85E0,1648372953,1682835803,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x4bcd8a4af46bcdde176e42319fc2f8808ebf85e0,0x4bcd8a4af46bcdde176e42319fc2f8808ebf85e0,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,52,403,369,0,61,0,17,7.3076923076923075
0xCbD04C404F7Fa168f68A2CF5407d3C23A4C7a476,1662034337,1682837807,0x7531aa19407cc8d43c60f39e7cc4ad041c77e53b,0xcbd04c404f7fa168f68a2cf5407d3c23a4c7a476,0xcbd04c404f7fa168f68a2cf5407d3c23a4c7a476,0x23de9979551e2497c3431ce76bac2791d2a9b79b,32,245,245,0,41,0,8,7.25
0xaF084423B9333152448E6bb0a1e6BD8CD5bAC1BE,1662229911,1678885019,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xaf084423b9333152448e6bb0a1e6bd8cd5bac1be,0xaf084423b9333152448e6bb0a1e6bd8cd5bac1be,0x21b589e8ad9efcd3582eac5de321d06def182e0f,108,243,162,0,100,0,7,0.6759259259259259
0x245e9362Bb7e72a25e4ce7001298Fae4910163c8,1616860671,1666432859,0x564286362092d8e7936f0549571a803b203aaced,0x245e9362bb7e72a25e4ce7001298fae4910163c8,0x245e9362bb7e72a25e4ce7001298fae4910163c8,0x50002cdfe7ccb0c41f519c6eb0653158d11cd907,140,768,767,0,100,0,62,2.0357142857142856
0xd09e4C2AB4C42cA5afd1756ad5899634421ABF07,1497286361,1506627082,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xd09e4c2ab4c42ca5afd1756ad5899634421abf07,0xd09e4c2ab4c42ca5afd1756ad5899634421abf07,0x986ba782300d97d0fc0c97f4cd4d8c2e312335e7,930,2152,2149,0,100,0,100,0.5301075268817205
0x80a1D0169b14602269D3aC3c05F30AC9F8b1250b,1637328680,1646465834,0x2ce8a678bb92887120063404105c6483f627e1eb,0x80a1d0169b14602269d3ac3c05f30ac9f8b1250b,0x80a1d0169b14602269d3ac3c05f30ac9f8b1250b,0xd567b5f02b9073ad3a982a099a23bf019ff11d1c,676,531,528,0,100,0,100,0.0473372781065088
0xCA46774240E10f3b7E64BA2BB61A4985EE5258A7,1514639028,1523970143,0x4ddc90f6583f5e8b4eb249ffdd95ad00b134fae4,0xca46774240e10f3b7e64ba2bb61a4985ee5258a7,0xd551234ae421e3bcba99a0da6d736074f22192ff,0xca46774240e10f3b7e64ba2bb61a4985ee5258a7,256,1951,1946,0,100,0,100,2.625
0x2518d14b6797D5e974e9bF6B1345B3f7970a3954,1525534235,1681748051,0x24c36928851cd23b097b8c256984070f90e68003,0x2518d14b6797d5e974e9bf6b1345b3f7970a3954,0x2518d14b6797d5e974e9bf6b1345b3f7970a3954,0x80c67432656d59144ceff962e8faf8926599bcf8,76,1825,1824,0,100,0,16,9.763157894736842
0x74116BD0491831777aBB1E44a0F3Bee130D636A3,1502335269,1682667971,0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,0x74116bd0491831777abb1e44a0f3bee130d636a3,0x74116bd0491831777abb1e44a0f3bee130d636a3,0x274554eb289004e15a7679123901b7f070dda0fa,39,2093,2066,0,51,0,26,52.82051282051282
0x3EE9E2434e99034D6d6932e3a89EC20aBfA2a053,1654196025,1682957771,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0x3ee9e2434e99034d6d6932e3a89ec20abfa2a053,0x3ee9e2434e99034d6d6932e3a89ec20abfa2a053,0xaa40e2e5c8df03d792a52b5458959c320f86ca18,8,336,0,0,10,0,0,41.0
0x51A6A8945d9AF5cEC4720Fa4a866FbdEdfC9Fb6A,1594735929,1619888985,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x51a6a8945d9af5cec4720fa4a866fbdedfc9fb6a,0x51a6a8945d9af5cec4720fa4a866fbdedfc9fb6a,0x70f67a5d1a86f382e17e8211e3e8bef5a6b41194,121,1024,1023,0,100,0,81,6.917355371900826
0x0e9F1488F885Ef329bA2aEDA7004500f434c4582,1649324302,1683110831,0x2234e52a37704e77021bf90ea3c53e165cb985da,0x0e9f1488f885ef329ba2aeda7004500f434c4582,0x0e9f1488f885ef329ba2aeda7004500f434c4582,0xd152f549545093347a162dce210e7293f1452150,86,392,168,0,98,0,17,1.5813953488372092
0x869ddBa4607193C584455DB82126AeD5AB29e3c9,1644665540,1663322843,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x869ddba4607193c584455db82126aed5ab29e3c9,0x869ddba4607193c584455db82126aed5ab29e3c9,0xe42cad6fc883877a76a26a16ed92444ab177e306,138,446,426,0,100,0,12,2.260869565217391
0x119107BDcFe33B38dA6061f8065C778C3218c032,1667271539,1683105047,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x119107bdcfe33b38da6061f8065c778c3218c032,0x119107bdcfe33b38da6061f8065c778c3218c032,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,66,184,185,0,84,0,18,2.4242424242424243
0x23Ae372bb7F2C7D80B5f49eB38ab9336c6E33458,1600771814,1682562179,0x69f172cded2d2dd3e0c31a572c0372d40442fc6f,0x23ae372bb7f2c7d80b5f49eb38ab9336c6e33458,0x23ae372bb7f2c7d80b5f49eb38ab9336c6e33458,0xaa40e2e5c8df03d792a52b5458959c320f86ca18,12,954,953,0,14,0,5,78.16666666666667
0x5899cF08454d0058eB432ac446c31d53A6d6b37c,1666328627,1682648291,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0x5899cf08454d0058eb432ac446c31d53a6d6b37c,0x5899cf08454d0058eb432ac446c31d53a6d6b37c,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,9,195,0,0,13,0,0,20.666666666666668
0x2b4FD5b73dF1AE9cCCC310381FCFE128aD31d6DF,1670169227,1682726819,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x2b4fd5b73df1ae9cccc310381fcfe128ad31d6df,0x2b4fd5b73df1ae9cccc310381fcfe128ad31d6df,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,18,151,0,0,19,0,0,7.722222222222222
