supporterwallet,first_date,last_date,first_from,first_to,last_from,last_to,txn_count,Wallet_Age,Wallet_Age(Erc20),to_count,from_count,erc_to,erc_from,TDD
0x80584067964d9d1e9971cc392c69652181a24766,1648205319,1681573727,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,self,self,0x3a721fd4e443f2b7c913c63c0199e7cc112a2dc4,35,401,401,35,5,5,7,10.742857142857142
0x7c5cd584fc92992caeed3771a26c518e0e7f4edc,1631624943,1682758019,0x2a23b3950db8bbd47e84fa7c9aba2835bff55b43,self,self,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,53,593,548,53,17,7,8,10.943396226415096
0xfc6a7aefc4bfe478752b85b923fb7672ea384d6e,1659082769,1679987639,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,self,self,0x32400084c286cf3e17e7b677ea9583e60a000324,37,275,244,37,1,7,8,6.216216216216216
0xfea573ef9d5ed5b470311582c99c103c38c0320f,1663313951,1674457103,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,self,self,0x6b175474e89094c44da98b954eedeac495271d0f,125,226,216,71,29,19,8,0.608
0x7bcdf76694d630f32cc156520d94ea8398f94571,1624204222,1640095840,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,self,self,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,379,679,617,76,24,44,56,0.2638522427440633
0x7bcdffc9adf07f9b69bd34b8fa7c3f94c8dc3b6c,1661594726,1681355807,self,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,self,0x5f04d47d698f79d76f85e835930170ff4c4ebdb7,66,246,200,66,8,10,7,3.090909090909091
0x7bebed59df3e04a4fbea0e59c7c8979be4d45257,1622881121,1681441079,0x7c68c9f5d6e99ebee217363517209b47b6c08fd3,self,self,0x5f04d47d698f79d76f85e835930170ff4c4ebdb7,36,694,685,36,8,1,2,24.666666666666668
0xfe5368f6add059ac2bb3f54919b787ea46a68568,1617739968,1682582339,0x628066cf8d2fa51dcde27170f5b1b3833bc21149,self,self,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,48,754,516,48,19,11,9,15.3125
0x7c16c022048b25142482cf06ac98064527395290,1619633253,1644027287,0xc9f5296eb3ac266c94568d790b6e91eba7d76a11,self,0xb75a5f0bb19d0a6c14b0fd988e8893e7f8397342,self,210,732,732,71,29,44,56,1.2571428571428571
0xfdee0c33f3493a1b83cc63bb5fbfa766572fbc03,1654081941,1682235479,0x5e43e7bc211bd38e71e1236a575081799810d8ed,self,self,0x50296fa66ea1486e3255f2f1f4a815a58f2a5fb2,28,333,329,28,7,3,2,11.357142857142858
0x0cf30daf2fb962ed1d5d19c97f5f6651f3b691c1,1626660387,1646675269,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,self,self,0xdbd27635a534a3d3169ef0498beb56fb9c937489,354,650,702,92,8,42,58,0.4463276836158192
0x70db6ba00197d1e7d19ac294791228ff5949290c,1611865006,1633708046,0x95ad8360fe25bc9fb573d10b42f76f1bf34669af,self,self,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,455,822,716,74,26,40,53,0.334065934065934
0x08de9710df1cc0e92fe2c3c3984669936289a984,1633357158,1675147259,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,self,self,0xe575282b376e3c9886779a841a2510f1dd8c2ce4,18,573,572,18,4,3,3,26.38888888888889
0x109c01a8844b754e80995c06522b45f77963d72b,1601304513,1631119214,0xc4ed851c536a2f5fb95e2992788f195d17a36a93,self,self,0xe592427a0aece92de3edee1f18e0157c05861564,172,944,924,85,15,41,37,3.2906976744186047
0x705b808b1467f028ac602aff34cf3ed6e8e7578d,1652012947,1675171523,0x0d0707963952f2fba59dd06f2b425ace40b492fe,self,self,0xe575282b376e3c9886779a841a2510f1dd8c2ce4,11,357,0,11,1,0,0,31.90909090909091
0xfc888fadd4063cb98041a59a232183a6d4306da2,1614595850,1674806147,0xd551234ae421e3bcba99a0da6d736074f22192ff,self,self,0xe575282b376e3c9886779a841a2510f1dd8c2ce4,28,790,790,28,10,4,9,24.607142857142858
0xc2fade9e5cfbc84a0e69ae2b52ce05d38ec4ea4c,1620760613,1652736628,0x00ac9eec7fcbfb335ff678e4137e2e3383989204,self,self,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,176,719,728,77,23,12,17,0.9545454545454546
